Shape,Edge count,Timesteps per iteration,Time per iteration (ms)
square,556,80,18
square,2120,79,31
square,8098,84,61
square,31559,83,149
square,71361,92,264
square,125566,94,395
star_8,753,124,93
star_8,2377,94,109
star_8,8382,94,192
star_8,30964,90,367
star_8,70120,94,607
star_8,122144,92,785
star_12,2520,99,160
star_12,8628,94,266
star_12,32220,89,499
star_12,69981,90,752
star_12,122349,91,1047
diamonds,684,99,121
diamonds,1913,87,169
diamonds,7081,93,354
diamonds,27389,97,763
diamonds,58178,89,1038
diamonds,79246,89,1246
